id,goal,target,indicator,series,seriesdescription,seriescount,geoareacode,country,year,value,valuetype,source,footnotes,attributes,dimensions
albania2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2019,82.9859,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
albania2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2019,126.3799,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
albania2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2019,27.71558,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
albania2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2019,15.67842,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
albania2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2022,14.7035,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
albania2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2022,85.72459,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
albania2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2022,24.51742,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
albania2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,8,Albania,2022,124.94552,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
austria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2019,28.62527,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
austria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2019,76.65914,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
austria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2019,8.70377,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
austria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2019,39.3301,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
austria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2020,82.80843,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
austria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2020,9.46656,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
austria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2020,114.94686,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
austria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2020,22.67187,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
austria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2021,19.99847,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
austria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2021,112.55064,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
austria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2021,9.4469,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
austria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2021,83.10527,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
austria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2022,83.00356,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
austria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2022,9.00039,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
austria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2022,23.00099,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
austria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,40,Austria,2022,115.00493,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
belgium2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2019,19.75325,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
belgium2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2019,79.53626,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
belgium2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2019,50.04412,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
belgium2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2019,9.73889,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
belgium2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2020,6.36506,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
belgium2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2020,70.84562,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
belgium2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2020,84.85081,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
belgium2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2020,7.64013,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
belgium2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2021,8.2995,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
belgium2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2021,84.21296,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
belgium2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2021,69.92212,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
belgium2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2021,5.99134,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
belgium2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2022,8.00279,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
belgium2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2022,6.0021,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
belgium2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2022,71.02479,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
belgium2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,56,Belgium,2022,85.02968,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bosnia and herzegovina2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2019,123.83211,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bosnia and herzegovina2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2019,81.31292,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bosnia and herzegovina2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2019,27.15684,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bosnia and herzegovina2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2019,15.36234,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bosnia and herzegovina2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2022,24.5107,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bosnia and herzegovina2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2022,14.69947,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bosnia and herzegovina2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2022,85.7011,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bosnia and herzegovina2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,70,Bosnia and Herzegovina,2022,124.91127,Float,Food Waste Index Report / WESR,Low Confidence,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,110.83817,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,15.52395,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,67.87169,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,27.44253,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,17.46152,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,54.87712,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,6.6826,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,79.02123,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,75.55591,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,5.98487,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,52.57739,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,16.99365,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,1.99942,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,25.99251,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,1.99942,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,29.99136,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
croatia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2019,122.67038,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
