id,country,total,food_production,food_manufacture,food_distribution,food_services,households,year
belgium2020,Belgium,250.0,3.0,161.0,6.0,8.0,71.0,2020
bulgaria2020,Bulgaria,108.0,9.0,19.0,7.0,18.0,55.0,2020
czechia2020,Czechia,91.0,3.0,9.0,6.0,4.0,69.0,2020
denmark2020,Denmark,221.0,11.0,102.0,17.0,11.0,79.0,2020
germany2020,Germany,131.0,2.0,19.0,9.0,22.0,78.0,2020
estonia2020,Estonia,125.0,18.0,24.0,15.0,8.0,61.0,2020
ireland2020,Ireland,154.0,11.0,44.0,14.0,36.0,48.0,2020
greece2020,Greece,191.0,35.0,35.0,14.0,21.0,87.0,2020
spain2020,Spain,90.0,18.0,30.0,7.0,4.0,30.0,2020
france2020,France,129.0,18.0,26.0,10.0,16.0,60.0,2020
croatia2020,Croatia,71.0,10.0,2.0,1.0,4.0,53.0,2020
italy2020,Italy,136.0,12.0,9.0,6.0,3.0,107.0,2020
cyprus2020,Cyprus,397.0,49.0,190.0,56.0,30.0,71.0,2020
latvia2020,Latvia,145.0,17.0,19.0,8.0,19.0,82.0,2020
lithuania2020,Lithuania,137.0,29.0,10.0,10.0,2.0,86.0,2020
luxembourg2020,Luxembourg,147.0,12.0,17.0,14.0,14.0,91.0,2020
hungary2020,Hungary,93.0,2.0,19.0,4.0,2.0,66.0,2020
malta2020,Malta,154.0,1.0,9.0,8.0,45.0,92.0,2020
netherlands2020,Netherlands,161.0,27.0,59.0,12.0,5.0,59.0,2020
austria2020,Austria,136.0,2.0,19.0,9.0,23.0,83.0,2020
poland2020,Poland,112.0,18.0,21.0,8.0,5.0,60.0,2020
portugal2020,Portugal,176.0,10.0,6.0,21.0,16.0,124.0,2020
slovenia2020,Slovenia,68.0,0.0,5.0,7.0,20.0,36.0,2020
slovakia2020,Slovakia,106.0,13.0,23.0,3.0,1.0,65.0,2020
finland2020,Finland,116.0,9.0,29.0,10.0,14.0,53.0,2020
sweden2020,Sweden,89.0,2.0,5.0,11.0,9.0,61.0,2020
norway2020,Norway,143.0,30.0,5.0,11.0,18.0,78.0,2020
belgium2021,Belgium,262.0,3.0,175.0,6.0,8.0,70.0,2021
bulgaria2021,Bulgaria,103.0,9.0,19.0,6.0,17.0,53.0,2021
czechia2021,Czechia,,,,,,,2021
denmark2021,Denmark,230.0,10.0,104.0,17.0,12.0,87.0,2021
germany2021,Germany,,,,,,,2021
estonia2021,Estonia,128.0,14.0,31.0,10.0,9.0,64.0,2021
ireland2021,Ireland,150.0,10.0,43.0,15.0,38.0,44.0,2021
greece2021,Greece,,,,,,,2021
spain2021,Spain,,,,,,,2021
france2021,France,129.0,18.0,25.0,9.0,16.0,60.0,2021
croatia2021,Croatia,71.0,10.0,2.0,1.0,4.0,54.0,2021
italy2021,Italy,140.0,11.0,9.0,8.0,4.0,107.0,2021
cyprus2021,Cyprus,,,,,,,2021
latvia2021,Latvia,130.0,16.0,17.0,9.0,15.0,73.0,2021
lithuania2021,Lithuania,139.0,29.0,10.0,12.0,2.0,86.0,2021
luxembourg2021,Luxembourg,131.0,11.0,18.0,14.0,15.0,73.0,2021
hungary2021,Hungary,91.0,1.0,16.0,6.0,2.0,65.0,2021
malta2021,Malta,,,,,,,2021
netherlands2021,Netherlands,148.0,18.0,65.0,12.0,5.0,48.0,2021
austria2021,Austria,134.0,1.0,21.0,9.0,20.0,83.0,2021
poland2021,Poland,113.0,17.0,21.0,9.0,5.0,61.0,2021
portugal2021,Portugal,181.0,12.0,7.0,22.0,16.0,124.0,2021
slovenia2021,Slovenia,68.0,0.0,6.0,7.0,19.0,36.0,2021
slovakia2021,Slovakia,99.0,4.0,23.0,3.0,2.0,66.0,2021
finland2021,Finland,125.0,9.0,29.0,10.0,15.0,63.0,2021
sweden2021,Sweden,86.0,2.0,5.0,10.0,9.0,59.0,2021
norway2021,Norway,144.0,33.0,5.0,13.0,17.0,75.0,2021
