id,indicator,seriesdescription,country,year,value,time_detail,source,footnote,units
slovakia2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Slovakia,2015,6.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
united kingdom2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),United Kingdom,2015,8.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
serbia2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Serbia,2015,11.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
hungary2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Hungary,2015,9.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
croatia2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Croatia,2015,7.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
denmark2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Denmark,2015,5.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
switzerland2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Switzerland,2015,3.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
greece2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Greece,2015,13.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
portugal2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Portugal,2015,13.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
switzerland2015,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),Switzerland,2015,5.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,PERCENT
