id,indicator,seriesdescription,country,year,value,time_detail,source,footnote,units
switzerland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Switzerland,2015,452.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
germany2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Germany,2015,3657.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
portugal2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Portugal,2015,1515.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
ireland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Ireland,2015,518.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
slovakia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Slovakia,2015,404.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
switzerland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Switzerland,2015,359.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
serbia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Serbia,2015,1028.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
netherlands2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Netherlands,2015,733.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
sweden2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Sweden,2015,537.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
bosnia and herzegovina2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Bosnia and Herzegovina,2015,389.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
luxembourg2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Luxembourg,2015,21.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
latvia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Latvia,2015,193.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
montenegro2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Montenegro,2015,89.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
montenegro2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Montenegro,2015,70.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
united kingdom2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),United Kingdom,2015,5516.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
latvia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Latvia,2015,219.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
latvia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Latvia,2015,167.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
slovakia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Slovakia,2015,266.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
spain2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Spain,2015,3206.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
denmark2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Denmark,2015,260.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
portugal2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Portugal,2015,1677.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
norway2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Norway,2015,196.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
sweden2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Sweden,2015,346.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
croatia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Croatia,2015,323.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
bosnia and herzegovina2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Bosnia and Herzegovina,2015,456.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
czechia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Czechia,2015,631.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
