id,indicator,seriesdescription,country,year,value,time_detail,source,footnote,units
albania2015,2.1.2,Adult population in severe food insecurity (thousands of people),Albania,2015,326.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
lithuania2015,2.1.2,Adult population in severe food insecurity (thousands of people),Lithuania,2015,66.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
ireland2015,2.1.2,Adult population in severe food insecurity (thousands of people),Ireland,2015,181.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
italy2015,2.1.2,Adult population in severe food insecurity (thousands of people),Italy,2015,923.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
serbia2015,2.1.2,Adult population in severe food insecurity (thousands of people),Serbia,2015,112.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
hungary2015,2.1.2,Adult population in severe food insecurity (thousands of people),Hungary,2015,76.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
greece2015,2.1.2,Adult population in severe food insecurity (thousands of people),Greece,2015,357.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
switzerland2015,2.1.2,Adult population in severe food insecurity (thousands of people),Switzerland,2015,126.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
luxembourg2015,2.1.2,Adult population in severe food insecurity (thousands of people),Luxembourg,2015,11.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
netherlands2015,2.1.2,Adult population in severe food insecurity (thousands of people),Netherlands,2015,313.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
