id,goal,target,indicator,series,seriesdescription,seriescount,geoareacode,country,year,value,valuetype,baseperiod,source,footnotes,attributes,dimensions
albania2019,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,8,Albania,2019,1,Float,,Ministry of Tourism and Environment,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
belgium2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,56,Belgium,2021,1,Float,,"Federal Planning Bureau (FPB), Brussels Environment, Secretariat-General, Public Service of Wallonia",,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
bulgaria2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,100,Bulgaria,2021,1,Float,,Ministry of Environment and Water,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
croatia2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,191,Croatia,2021,1,Float,,Ministry for Economy and Sustainable Development,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
czechia2019,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,203,Czechia,2019,1,Float,,Ministry of Environment,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
finland2020,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,246,Finland,2020,1,Float,,"Ministry of the Environment (MoE), Flemish Government",,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
france2023,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,250,France,2023,1,Float,,Ministère de la transition écologique et solidaire,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
germany2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,276,Germany,2021,1,Float,,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV)",,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
hungary2023,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,348,Hungary,2023,1,Float,,Ministry of Energy,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
latvia2020,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,428,Latvia,2020,1,Float,,Ministry of Environmental Protection and Regional Development,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
lithuania2019,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,440,Lithuania,2019,1,Float,,Ministry of Environment,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
netherlands2020,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,528,Netherlands,2020,1,Float,,Ministry of Infrastructure and Water Management,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
norway2023,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,578,Norway,2023,1,Float,,Ministry of Climate and Environment,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
poland2020,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,616,Poland,2020,1,Float,,10YFP / WESR ,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
romania2020,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,642,Romania,2020,1,Float,,10YFP / WESR ,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
serbia2022,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,688,Serbia,2022,1,Float,,Environmental Protection Agency,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
slovakia2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,703,Slovakia,2021,1,Float,,"Environment Agency, Ministry of Environment of the Slovak Republic",,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
slovenia2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,705,Slovenia,2021,1,Float,,Ministry of Environment and Spatial Planning,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
sweden2023,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,752,Sweden,2023,1,Float,,Environmental Protection Agency,,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
switzerland2023,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,756,Switzerland,2023,1,Float,,Federal Office for the Environment (FOEN),,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
united kingdom2021,12,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),158,826,United Kingdom,2021,1,Float,,"Department for Environment, Food and Rural Affairs (DEFRA)",,"Nature: C, Units: NUMBER, Observation Status: A",Reporting Type: G
albania2019,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,8,Albania,2019,1,Float,,Ministry of Tourism and Environment,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
belgium2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,56,Belgium,2021,13,Float,,"Federal Planning Bureau (FPB), Brussels Environment, Secretariat-General, Public Service of Wallonia",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_VOLSRG"
belgium2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,56,Belgium,2021,4,Float,,"Federal Planning Bureau (FPB), Brussels Environment, Secretariat-General, Public Service of Wallonia",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
belgium2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,56,Belgium,2021,16,Float,,"Federal Planning Bureau (FPB), Brussels Environment, Secretariat-General, Public Service of Wallonia",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
belgium2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,56,Belgium,2021,1,Float,,"Federal Planning Bureau (FPB), Brussels Environment, Secretariat-General, Public Service of Wallonia",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_ECONFIS"
bulgaria2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,100,Bulgaria,2021,3,Float,,Ministry of Environment and Water,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
bulgaria2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,100,Bulgaria,2021,9,Float,,Ministry of Environment and Water,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_ECONFIS"
bulgaria2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,100,Bulgaria,2021,3,Float,,Ministry of Environment and Water,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
croatia2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,191,Croatia,2021,1,Float,,Ministry for Economy and Sustainable Development,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
croatia2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,191,Croatia,2021,4,Float,,Ministry for Economy and Sustainable Development,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
czechia2019,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,203,Czechia,2019,1,Float,,Ministry of Environment,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
finland2020,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,246,Finland,2020,1,Float,,"Ministry of the Environment (MoE), Flemish Government",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_VOLSRG"
finland2020,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,246,Finland,2020,2,Float,,"Ministry of the Environment (MoE), Flemish Government",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
finland2020,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,246,Finland,2020,1,Float,,"Ministry of the Environment (MoE), Flemish Government",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_ECONFIS"
france2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,250,France,2023,2,Float,,Ministère de la transition écologique et solidaire,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
france2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,250,France,2023,1,Float,,Ministère de la transition écologique et solidaire,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
germany2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,276,Germany,2021,15,Float,,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV)",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_VOLSRG"
germany2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,276,Germany,2021,5,Float,,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV)",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
germany2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,276,Germany,2021,12,Float,,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV)",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
germany2021,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,276,Germany,2021,1,Float,,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV)",,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_ECONFIS"
hungary2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,348,Hungary,2023,19,Float,,Ministry of Energy,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_VOLSRG"
hungary2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,348,Hungary,2023,12,Float,,Ministry of Energy,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_REGLEG"
hungary2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,348,Hungary,2023,19,Float,,Ministry of Energy,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
hungary2023,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,348,Hungary,2023,1,Float,,Ministry of Energy,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_ECONFIS"
latvia2020,12,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),350,428,Latvia,2020,2,Float,,Ministry of Environmental Protection and Regional Development,,"Nature: C, Units: NUMBER, Observation Status: A","Reporting Type: G, Policy instruments: POLICY_MACRO"
