id,country,total,food_production,food_manufacture,food_distribution,food_services,households,year
belgium2020,Belgium,250,3,161,6,8,71,2020
bulgaria2020,Bulgaria,108,9,19,7,18,55,2020
czechia2020,Czechia,91,3,9,6,4,69,2020
denmark2020,Denmark,221,11,102,17,11,79,2020
germany2020,Germany,131,2,19,9,22,78,2020
estonia2020,Estonia,125,18,24,15,8,61,2020
ireland2020,Ireland,154,11,44,14,36,48,2020
greece2020,Greece,191,35,35,14,21,87,2020
spain2020,Spain,90,18,30,7,4,30,2020
france2020,France,129,18,26,10,16,60,2020
croatia2020,Croatia,71,10,2,1,4,53,2020
italy2020,Italy,136,12,9,6,3,107,2020
cyprus2020,Cyprus,397,49,190,56,30,71,2020
latvia2020,Latvia,145,17,19,8,19,82,2020
lithuania2020,Lithuania,137,29,10,10,2,86,2020
luxembourg2020,Luxembourg,147,12,17,14,14,91,2020
hungary2020,Hungary,93,2,19,4,2,66,2020
malta2020,Malta,154,1,9,8,45,92,2020
netherlands2020,Netherlands,161,27,59,12,5,59,2020
austria2020,Austria,136,2,19,9,23,83,2020
poland2020,Poland,112,18,21,8,5,60,2020
portugal2020,Portugal,176,10,6,21,16,124,2020
slovenia2020,Slovenia,68,0,5,7,20,36,2020
slovakia2020,Slovakia,106,13,23,3,1,65,2020
finland2020,Finland,116,9,29,10,14,53,2020
sweden2020,Sweden,89,2,5,11,9,61,2020
norway2020,Norway,143,30,5,11,18,78,2020
belgium2021,Belgium,262,3,175,6,8,70,2021
bulgaria2021,Bulgaria,103,9,19,6,17,53,2021
czechia2021,Czechia,:,:,:,:,:,:,2021
denmark2021,Denmark,230,10,104,17,12,87,2021
germany2021,Germany,:,:,:,:,:,:,2021
estonia2021,Estonia,128,14,31,10,9,64,2021
ireland2021,Ireland,150,10,43,15,38,44,2021
greece2021,Greece,:,:,:,:,:,:,2021
spain2021,Spain,:,:,:,:,:,:,2021
france2021,France,129,18,25,9,16,60,2021
croatia2021,Croatia,71,10,2,1,4,54,2021
italy2021,Italy,140,11,9,8,4,107,2021
cyprus2021,Cyprus,:,:,:,:,:,:,2021
latvia2021,Latvia,130,16,17,9,15,73,2021
lithuania2021,Lithuania,139,29,10,12,2,86,2021
luxembourg2021,Luxembourg,131,11,18,14,15,73,2021
hungary2021,Hungary,91,1,16,6,2,65,2021
malta2021,Malta,:,:,:,:,:,:,2021
netherlands2021,Netherlands,148,18,65,12,5,48,2021
austria2021,Austria,134,1,21,9,20,83,2021
poland2021,Poland,113,17,21,9,5,61,2021
portugal2021,Portugal,181,12,7,22,16,124,2021
slovenia2021,Slovenia,68,0,6,7,19,36,2021
slovakia2021,Slovakia,99,4,23,3,2,66,2021
finland2021,Finland,125,9,29,10,15,63,2021
sweden2021,Sweden,86,2,5,10,9,59,2021
norway2021,Norway,144,33,5,13,17,75,2021
