Category,Denmark_production,Germany_production,Italy_production,Denmark_manuf,Germany_manuf,Italy_manuf
Meat,0,0,0,20.13,186.69,143.55
Fish,136.5,58.06,66.46,27.89,80.37,37.75
Dairy,14.9,89.16,33.45,43.63,218.16,139.81
Eggs,1.41,14.42,14.76,1.35,16.9,13.59
Cereals,2.06,45.06,18.99,16.42,212.97,44.71
Fruits,2.02,99.25,811.3,7.81,135.46,679.84
Vegetables,26.61,332.97,868.17,24.05,270.29,570.32
Potatoes,0,0,0,9.45,192.46,10.97
Sugarbeets,0,0,0,0,0,0
Oilcrops,1.24,15.18,0.69,0,0.01,59.23
Total,184.74,654.1,1813.81,148.73,1313.11,1699.78
